Company Name,Designation
Reliance Retail,Sourcing head
Columbia Sportswear Company,Merchandising Director South Asia
Raceorbit LLP,Managing Director
Decathlon Sports India ,Country Production Director
Marks and spencer ,Head buying
Bodyssey,Founder
Antibrnd,Chief Partnership Officer
House Of Chikankari ,Founder
Bestseller Ind,Head of sourcing
WROGN,SR MANAGER-  PD & SOURCING
XYXX APPARELS PVT LTD,VP - GLOBAL SOURCING OPERATIONS
CIEL Grouop,Brand Business Head
DaMensch apparels Pvt Ltd.,Senior Vice President & Head- Sourcing & Merchandising
Birdy Exports Pvt Ltd,COO
H&M,GLOBAL MERCHANDISER
Turms,Founder
Turms,Head - Sourcing & Product Development
DECATHLON,Textile & Apparel Director
Hopscotch (Little runway),Director Sourcing
Singtex India,Country Manager
Raymond Apparel Ltd,Manager Sourcing
Reliance Retail Limited,Head of product Shein Brand
Reliance Retail Limited,Chief Manager
modelink lifestyle solutions ,founder
damensch,senior manager design and development
Stars Design Group Apparels Pvt Ltd,Director of Sourcing
Stars Design Group Apparels Pvt Ltd,Sr Merchandiser
Levi Strauss & Co. - Bangalore,Director Merchandising - South Asia Middle East & Africa
Soch Apparels Pvt. Ltd,Head – Fabric Sourcing
Tesco,Senior Associate Merchandiser
Mufti,VP sourcing
Raceorbit LLP,COO
Bestseller India,Product head for Mens and Jack and Jones Juniors
Reliance Retail India Ltd,Assistant Vice President
Bestseller India,Designer
Myntra,Associate Director- Sourcing
Alshaya International Trading Co. W.l.l.,President Apparel at Alshaya Group
Beebay Kids Apparels Pvt Ltd,Business Head
Beebay Kids Apparels Pvt Ltd,Brand Director
Alshaya International Trading Co. W.l.l.,Sr. Buyer
Jain Amar | Madame,CEO
Jain Amar | Madame,Director
Texport Industries Pvt Ltd,SVP
Scott International,Head of Quality Check
Amazon sourcing office - Cocoblu,Senior manager- Raw material sourcing
RNA Resources Group Ltd,Head of Apparel Sourcing
Victoria Secrets,SSE
H&M Hennes & Mauritz,Sr Product Manager
The Mom Store,Founder and CEO
THE MOM STORE,Head of Design
Blissclub,Sourcing and Quality manager
Techno Sportswear,Chief Executive Officer
Landmark group,Category Head – Mens top
Landmark group,Category Head – Mens bottom
Blissclub,Senior Sourcing
Linen Club,Associate sourcing
wrogn pvt ltd,"Sr,R&D Manager"
Lululemon,Sr Product Manager
AZORTE ,DESIGN MANAGER
Trent Ltd,Manager sourcing
Victoria’s secret,Director
ABFRL,Sourcing Head-Allen Solly Juniors
NIKE,Operations Head
Agilitas sportswear ,"Director – Production, Quality & Manufacturing Excellence (Global Sourcing)"
Agilitas Sports Pvt. Ltd.,Associate Director - Product Development(Apparel)
Agilitas Sports Pvt. Ltd.,Associate Director - Material Sourcing
Bearhouse clothing pvt ltd,Co-Founder
Zivame,AVP & Head- Category & Sourcing
Aldeno,Creative Head - Aldeno
Bling Brands Private Limited,Managing Director
Flexfit,Production Head
Myntra,Buyer
House of soi,Founder
Indisource,CEO
LIFESTYLE INTERNATIONAL PVT. LTD.,MANAGER-BUYING KIDSWEAR
Sriveda Sattva Pvt Ltd,Manager Operations
ABFRL,design lead- innerwear and activewear
Pepejeans innerfashion Pvt Ltd,Sourcing Manager
Jcrew,Quality Director India Region
Credo Brands,Vice President
Li & Fung,Senior Supervisor Quality Assurance
Ralph Lauren,"Senior Technical Specialist, Woven"
FSN E-Commerce ventures Ltd,Deputy General Manager
RELIANCE RETAIL LTD,CHIEF DESIGN MANAGER
Continuum Buying Agency Pvt Ltd.,Compliance and Supply Chain Manager
Poeticgem ( PDS LTD),Assistant Manager PD & Fabric
Hopscotch (Little runway),Vice president
LAGUNA CLOTHING PRIVATE LIMITED,HEAD OF RAW MATERIALS AND DESIGN
LAGUNA CLOTHING PRIVATE LIMITED,MANAGER- FABRIC SOURCING
LAGUNA CLOTHING PRIVATE LIMITED,MANAGER- DESIGN
AJIO,Product Manager
BonOrganik Apparels private limited,Director
BonOrganik Apparels private limited,Director
POPEES BABY CARE PRODUCTS,MANAGING DIRECTOR
RALPH LAUREN,SR. RAW MATERIAL SPECIALIST
Metro Brands Limited,AVP -Business Head - FILA
VIrgio,Sourcing manager
Reliance retail,Designer
Amante,Senior Executive - Lingerie designer
Aristobrat Retail Pvt Ltd,Senior Merchandiser
Myntra,Director sourcing
MYNTRA,Deputy Director- Buying
Square Mango Innovations Pvt Ltd,Founder
Vishal Mega mart ,VP
RANGER APPAREL EXPORT PVT LTD,Fabric Executive
RANGER APPAREL EXPORT PVT LTD,Fabric executive
Mothercare Sourcing,Director & Regional Head – India & Bangladesh
STUDIO EARTH,ASST. MANAGER - FABRICS
RHYTHM KNIT INDIA PVT LTD,Director
RIVIERA CREATION,Merchandiser
Tesco Stores Ltd,Procurement Manager
SCM GROUPS,owner
SHAKTHI KNITTING LTD,VICE PRESIDENT- Marketing & Merchandising
cantabil,Sourcing Head
Virgio,Head of Sourcing
Wrogn,sourcing manager
Ranger Apparel Export Pvt Ltd,Sr. Merchandiser
Ultraviolette Automotive,Manager - Apparel and accessories design
RAYMOND ,Chief Business Officer Apparels and Retail
ASMARA,Senior Designer
BLACKBERRYS MENSWEAR,General Manager
ZXY International,Assistant Manager
V.P.R.TEXTILES,MD
Zaara Overseas FZE,manager - sourcing
ABIRAMI EXPORTS,MD
MASTER GARMENTS,MD
Walmart,Sourcing Manager
Walmart,Sourcing Manager
Taffles,Regional Manager
Design Arc / PDS Ltd,Head of Sourcing
SUTA,Co-founder
Lulu Center Llc,Merchandiser
Lulu Center Llc, Buyer
Multifly Lifestyle Private Limited,Co-founder
Multifly Lifestyle Private Limited,Co-founder
BESTSELLER,Manager ( Men's wear design )
Aditya Birla Fashion and Retail Limited,AVP-Sustainability
GAP INC,Sr Sourcing and Buying Merchandiser
GAP INC.,Director (Global Sustainability)
Bewakoof Brands Private Limited,AVP & Head - Design and Product Development
MOHAN CLOTHING CO. PVT. LTD. (BLACKBERRYS),Senior Manager
Aquarelle India Pvt Ltd,Director Design & Development
Liverpool,Senior Buyer
"Eland Apparel Ltd , Bangalore",Sourcing Head
STUDIO EARTH,CHEIF OPERATING OFFICER
Luxe Décor,Business Head
PANTALOONS,GM
AMAZON,SR MANAGER
LEVI STRAUSS & CO.,"Senior Manager - Finishing, India and Sri lanka"
FIRSTCRY.COM (BRAINBEES SOLUTIONS PVT. LTD.),General Manager - Category Business and Product Process Automation
Walmart Sourcing,"Vice President, Walmart Sourcing"
BEVERLY HILLS,General Manager Sourcing
DaMensch apparel Pvt Ltd,Manager-Merchandising
SHIEN INDIA,PRODUCT MANAGER
SHIEN INDIA,Fabric Manager
Reliance Retail – Format - Yousta,Yousta Mens - Category Head
POPEES BABY CARE PVT LTD,Operation Manager
Landmark Group,Assistant Manager
Bhartiya International Limited,Senior Manager - Merchandising
Arvind Fashions Ltd,Manager
SCM GARMENTS PVT LTD,CMO
Rare Rabbit,Sr. Manager- Design
Siyaram Silk Mills Ltd.,Deputy. Manager - Purchase (Trims)
Radhamani Textiles P Limited,Manager Fabric Sourcing
The Souled Store Pvt Ltd,General Manager - Sourcing
Ctrl Alt Drip,Co Founder
CORPQLO,MD
CHINAR FASHION PRIVATE LTD.,DIRECTOR
KCS KNITS,MANAGING DIRECTOR
Next era Textile Pvt ltd,Director
Next era Textile Pvt ltd,Head -Buying & Sourcing
Six5Six Street,Co - Founder
Walmart Global Sourcing India Pvt. Ltd.,Sr. Manager - Quality Assurance
Rare Rabbit,Head Of design
MAX LIFESTYLE INTERNATIONAL PVT LTD,GM
lululemon,Technology Manager II
lululemon,Sr. Merch Analyst
STYCHED,Head of Product
ETERNO,Partner
ETERNO,Prop.
Gubbacci Apparel Pvt Ltd,Director
TECHNO SPORTSWEAR PRIVATE LIMITED,Head Analyst
Silkberry Exports,Proprietor
Splash,Manager
Splash,Menswear Designer
SPYKAR,Head Design
TEXLINE INDIA PVT LTD,Country Manager
TEXPORT,Design Head
VISHAKA APPAREL CLOTHING,DIRECTOR & PLANNING
Carpe diem apparels Pvt Ltd.,CEO
Carpe diem apparels Pvt Ltd.,COO
 Cosmos lifestyle Sports,Business Head- SCM/Merchandising
"Ching Fung Apparel Accessory Ltd, Hong Kong","Director - Regional Office , India & Bangladesh"
"Ching Fung Apparel Accessory Ltd, Hong Kong",CEO
QUINCE,Product Sourcing Manager
KG Denim Ltd Apparel Division,VP
Club-unplugged,Founder
SOY Clothing Co,Founder & CEO
SAI TRENDS,Managing Director
SAI TRENDS,Managing partner
global shirt box india pvt imited,managing director
R for Rabbit Baby products,Product development
THREADS & CO,COO
THREADS & CO,CEO
THREADS & CO,CFO
ZXY INTERNATIONAL,Manager
outcasts.in,Product Head
Firstcry,Product compliance manager
GANT UK LIMITED,Deputy Manager
Sainly International,Operations Head
ZXY International,Senior Merchandiser
SSKB group,Founder
Effilo Clothing,CPO
SANDS OF INDIA,CEO
Puneet Apparels Pvt Ltd,Director
Infinite Sourcing,General Manager
SIDNEY APPARELS,GM
SRI LAKSHMI SARASWATHI TEXTILES ARNI LTD,MERCHANDISER
SRI LAKSHMI SARASWATHI TEXTILES ARNI LTD,DIRECTOR
Al tayer ,Buyer
MAX LIFESTYLE INTERNATIONAL PVT LTD,GM
Amazon,"Program Manager, Manufacturing Central"
Amazon,"Program Manager, IN Global Trade"
Lulu Center Sole Proprietorship LLC,Merchandiser
 Nine elephants, Procurement Manager
INSTYLE INDIA,SOURCING HEAD
Anilakh Designs LLP,Head of Buying & Sourcing
Anilakh Designs LLP,Operations Manager
Lulu Center Sole Proprietorship LLC,Merchandiser( India)
VISHAKA APPAREL CLOTHING,DIRECTOR & PLANNING
SKYKNIT YARN PVT. LTD.,DESIGNER
"Ching Fung Apparel Accessory Ltd, Hong Kong","Director - Regional Office , India & Bangladesh"
"Ching Fung Apparel Accessory Ltd, Hong Kong",CEO
Tesco Sourcing,Senior Sourcing Manager
karmikh clothing & lifestyle,Director
Sparklyfe Homebiz Pvt Ltd.,Founder Director
Sparklyfe Homebiz Pvt Ltd.,Founder & COO
Nykaa Fashion Pvt Ltd,Sr. Manager
Nykaa Fashion Pvt Ltd,Assistant Manager
WILDCRAFT,SOURCING AND MERCHANDISING
J D WILLIAMS CO LTD,Head of Buying for Womenswear
Sri Krishna garments,Proprietor
Arvind Fashions Ltd.,CIO
Pipin fashions and retail pvt Ltd.,Co-Founder- Director
