Parameters,Priority,How LLM can fill this data,Example Identifier to Search,Example Query Parameter Generated by LLM,Type
company_name_alias,High,Generates different variations of the complete name of the company or part of it,Grace Supermarket,"""supermarket""",keyword
is_b2b,High,Identifies from the prompt or product that the company that needs to be identified is selling b2b or b2c products,Automated from product prompt,1,long
industry,High,Generates list different industries where the ideal company might fall under basis provided prompt.,FMCG Supermarket company,"""Retail, FMCG, CPG, Retail Groceries""",text
sic_codes,High,Generates an arrary of SIC code based prompt specified for the relevant company and matches the relevant list of SIC code identifiers,Company in IT services,"""7371, 7834, 6783""",text
naics_codes,High,Generates an arrary of NAIC code based prompt specified for the relevant company and matches the relevant list of NAIC code identifiers,Company in IT services,"""211120, 211123, 212120""",text
description ,High,Brief generated by the LLM on the company basis the user prompt,Company in IT services,"""Company that provides IT services or computer software consultancy services or more""",text
description_enriched,High,Brief generated by the LLM on the company basis the user prompt,Company in IT services,"""Company that provides IT services or computer software consultancy services or more""",text
employees_count,High,"Number of employees identified, if it is mentioned in the prompt",More than 500 employees ,"""500""",long
categories_and_keywords,High,Generates list different categories where the ideal company might fall under basis the provided prompt.,Company in IT services,"""technology, Ecommerce""",text
hq_region,High,Geography identified by the LLM basis the provided prompt if region is mentioned,Company is located in Asia,"""Asia, Southern Asia, APAC""",text
hq_country,High,Name of the country identified by the LLM if user has mentioned it in the user prompt,Company should be Indian,"""India""",text
hq_country_iso2,High,ISO 2-letter code of the country if it is mentioned in the prompt,Company should be Indian,"""IN""",text
hq_country_iso3,High,ISO 2-letter code of the country if it is mentioned in the prompt,Company should be Indian,"""IND""",text
hq_location,High,"Name of the city if it is mentioned in the prompt. The LLM will output the city, state and country in that sequence of string",Company should be located in Mumbai,"""Mumbai, Maharashtra, India""",text
is_public,High,True/False if user prompt has mentioned anything about the company being public or not,Company should be public,TRUE,boolean
ipo_date,Low,Use only if user has specifically asked for how long do they want the company to be public for,Company should be atleast 5 years trading in stock market,Date that is 5 years from today,date
marketcap,Low,Use only if user has specifically mentioned the marketcap of the company,Company should be greater than 100B in market capital,"""100B""",double
Total Website Visits Monthly,High,User mentions bar for month website visits,More than 100 users should visit the website monthly,100,long
Visits Change Monthly,High,User mentions they are looking for a high growth company,Company is a high growth company,25,double
rank_global,High,User prompt refers they are looking for top companies in the world for something specific,Top 10 companies in the world,10,long
rank_company,High,User prompt refers they are looking for top companies in the country for something specific,Top 10 companies in India,10,
rank_category,High,User prompt refers they are looking for top companies in a specific category,Top 10 companies in waste management,10,long
top_topics,High,Specific words or mentions the user prompt is looking for in a website,Look for Supermarket tag in a website,"""supermarket""",text 
